RecordID,NPA,NXX,LATA,RateCenterName ,WireCenterName,WireCenterCity,State,ZipCode1,ZipCode2,ZipCode3,FIPSCode ,Latitude,Longitude
106,213,346,730,LACZ 1,LOS ANGELES-MADISON,LOS ANGELES,CA,90071,90013,90014,06037,34.0500,-118.2505
107,213,347,730,LACZ 1,LOS ANGELES-MADISON,LOS ANGELES,CA,90071,90013,90014,06037,34.0500,-118.2505
108,213,348,730,LACZ 7,LOS ANGELES-MADISON,LOS ANGELES,CA,90014,90079,90071,06037,34.0462,-118.2568
109,213,349,730,LACZ 7,LOS ANGELES-MADISON,LOS ANGELES,CA,90071,90013,90014,06037,34.0500,-118.2505
110,213,351,730,LACZ 10,LOS ANGELES-RAMPART,LOS ANGELES,CA,90057,90006,90017,06037,34.0587,-118.2822
111,213,352,730,LACZ 10,ANAHEIM-LEMON,LOS ANGELES,CA,90057,90006,90005,06037,34.0587,-118.2822
112,213,353,730,LACZ 10,LOS ANGELES-UNION,LOS ANGELES,CA,90057,90017,90026,06037,34.0656,-118.2641
113,213,354,730,LACZ 1,LOS ANGELES,LOS ANGELES,CA,90071,90013,90014,06037,34.0500,-118.2505
114,213,355,730,LACZ 10,LOS ANGELES-MADISON,LOS ANGELES,CA,90017,90071,90014,06037,34.0514,-118.2613
115,213,356,730,LACZ 1,LOS ANGELES-MADISON,LOS ANGELES,CA,90071,90013,90014,06037,34.0500,-118.2505
116,213,357,730,LACZ 10,LOS ANGELES-MADISON,LOS ANGELES,CA,90071,90013,90014,06037,34.0500,-118.2505
117,213,358,730,LACZ 1,LOS ANGELES,LOS ANGELES,CA,90014,90079,90071,06037,34.0462,-118.2568
118,213,362,730,LACZ 1,LOS ANGELES-MADISON,LOS ANGELES,CA,90071,90013,90014,06037,34.0500,-118.2505
119,213,365,730,LACZ 10,LOS ANGELES-RAMPART,LOS ANGELES,CA,90057,90006,90017,06037,34.0587,-118.2822
120,213,367,730,LACZ 1,LOS ANGELES-UNION,LOS ANGELES,CA,90057,90017,90026,06037,34.0656,-118.2641
121,213,368,730,LACZ 10,LOS ANGELES-RAMPART,LOS ANGELES,CA,90057,90006,90017,06037,34.0587,-118.2822
122,213,370,730,LACZ 1,LOS ANGELES,LOS ANGELES,CA,90071,90013,90014,06037,34.0500,-118.2505
123,213,371,730,LACZ 3,LOS ANGELES-MADISON,LOS ANGELES,CA,90071,90013,90014,06037,34.0500,-118.2505
124,213,372,730,LACZ 1,LOS ANGELES,LOS ANGELES,CA,90071,90013,90014,06037,34.0500,-118.2505
